,road_code,road_name,serial_number,si_do
81185,301104000000.0,대전로316번길,0,대전광역시
81186,301104000000.0,대전로316번길,1,대전광역시
81187,301104000000.0,대전로340번길,0,대전광역시
81188,301104000000.0,대전로340번길,1,대전광역시
81189,301104000000.0,대전로448번길,0,대전광역시
81190,301104000000.0,대전로448번길,1,대전광역시
81191,301104000000.0,대전로470번길,0,대전광역시
81192,301104000000.0,대전로470번길,1,대전광역시
81193,301104000000.0,대전로472번길,0,대전광역시
81194,301104000000.0,대전로472번길,1,대전광역시
81195,301104000000.0,대전로542번길,0,대전광역시
81196,301104000000.0,대전로542번길,1,대전광역시
81197,301104000000.0,대전로542번길,2,대전광역시
81198,301104000000.0,대전로779번길,0,대전광역시
81199,301104000000.0,대전로779번길,1,대전광역시
81200,301104000000.0,대전로785번길,0,대전광역시
81201,301104000000.0,대전로785번길,1,대전광역시
81202,301104000000.0,대전로785번길,2,대전광역시
81203,301104000000.0,대전로791번길,0,대전광역시
81204,301104000000.0,대전로791번길,1,대전광역시
81205,301104000000.0,대전로797번길,0,대전광역시
81206,301104000000.0,대전로797번길,1,대전광역시
81207,301104000000.0,대전로807번길,0,대전광역시
81208,301104000000.0,대전로807번길,1,대전광역시
81209,301104000000.0,대전로807번길,2,대전광역시
81210,301104000000.0,대전로813번길,0,대전광역시
81211,301104000000.0,대전로813번길,1,대전광역시
81212,301104000000.0,대전로813번길,2,대전광역시
81213,301104000000.0,대전로815번길,0,대전광역시
81214,301104000000.0,대전로815번길,1,대전광역시
81215,301104000000.0,대전로815번길,2,대전광역시
81216,301104000000.0,대전로825번길,0,대전광역시
81217,301104000000.0,대전로825번길,1,대전광역시
81218,301104000000.0,대전로825번길,2,대전광역시
81219,301104000000.0,대전로839번길,0,대전광역시
81220,301104000000.0,대전로839번길,1,대전광역시
81221,301104000000.0,대전로839번길,2,대전광역시
81222,301104000000.0,대전로867번길,0,대전광역시
81223,301104000000.0,대전로867번길,1,대전광역시
81224,301104000000.0,대전로900번길,0,대전광역시
81225,301104000000.0,대전로900번길,1,대전광역시
81226,301104000000.0,대전로906번길,0,대전광역시
81227,301104000000.0,대전로906번길,1,대전광역시
81228,301104000000.0,대전로983번길,0,대전광역시
81229,301104000000.0,대전로983번길,1,대전광역시
81230,301104000000.0,대전로987번길,0,대전광역시
81231,301104000000.0,대전로987번길,1,대전광역시
81232,301104000000.0,대전로994번길,0,대전광역시
81233,301104000000.0,대전로994번길,1,대전광역시
81234,301104000000.0,대전로994번길,2,대전광역시
81235,301104000000.0,대전여고1길,0,대전광역시
81236,301104000000.0,대전여고1길,1,대전광역시
81237,301104000000.0,대전여고2길,0,대전광역시
81238,301104000000.0,대전여고2길,1,대전광역시
81239,301104000000.0,대전천북로112번길,0,대전광역시
81240,301104000000.0,대전천북로112번길,1,대전광역시
81241,301104000000.0,대전천북로116번길,0,대전광역시
81242,301104000000.0,대전천북로116번길,1,대전광역시
81243,301104000000.0,대전천북로122번길,0,대전광역시
81244,301104000000.0,대전천북로122번길,1,대전광역시
81245,301104000000.0,대전천북로126번길,0,대전광역시
81246,301104000000.0,대전천북로126번길,1,대전광역시
81247,301104000000.0,대전천북로134번길,0,대전광역시
81248,301104000000.0,대전천북로134번길,1,대전광역시
81249,301104000000.0,대청호수로1145번길,0,대전광역시
81250,301104000000.0,대청호수로1145번길,1,대전광역시
81251,301104000000.0,대청호수로296번길,0,대전광역시
81252,301104000000.0,대청호수로296번길,1,대전광역시
81253,301104000000.0,대청호수로337번길,0,대전광역시
81254,301104000000.0,대청호수로337번길,1,대전광역시
81255,301104000000.0,대청호수로428번길,0,대전광역시
81256,301104000000.0,대청호수로428번길,1,대전광역시
81257,301104000000.0,대청호수로545번길,0,대전광역시
81258,301104000000.0,대청호수로545번길,1,대전광역시
81259,301104000000.0,대청호수로585번길,0,대전광역시
81260,301104000000.0,대청호수로585번길,1,대전광역시
81261,301104000000.0,대청호수로61번길,0,대전광역시
81262,301104000000.0,대청호수로61번길,1,대전광역시
81263,301104000000.0,대청호수로633번길,0,대전광역시
